ID_Player,Name,birth_date,Saison,Team,Competition,Minutes_Jouées,Apparition,Titulaire,Remplacé_xfois,A Remplacé_xfois,Sur le banc,Saison_trait
158023,Lionel Messi,"Jun 24, 1987",2022, Argentina,WC Qualification South America,1274 ,15 ,14 ,1 ,0 ,1 ,2022/2023
158023,Lionel Messi,"Jun 24, 1987",2021, Argentina,Copa America,630 ,7 ,7 ,0 ,0 ,0 ,2021/2022
158023,Lionel Messi,"Jun 24, 1987",2019, Argentina,Copa America,540 ,6 ,6 ,0 ,0 ,0 ,2019/2020
158023,Lionel Messi,"Jun 24, 1987",2018, Argentina,WC Qualification South America,630 ,10 ,10 ,0 ,0 ,0 ,2018/2019
158023,Lionel Messi,"Jun 24, 1987",2018, Argentina,World Cup,360 ,4 ,4 ,0 ,0 ,0 ,2018/2019
158023,Lionel Messi,"Jun 24, 1987",2016, Argentina,Copa America,343 ,5 ,3 ,2 ,0 ,3 ,2016/2017
158023,Lionel Messi,"Jun 24, 1987",2015, Argentina,Copa America,540 ,6 ,6 ,0 ,0 ,0 ,2015/2016
158023,Lionel Messi,"Jun 24, 1987",2014, Argentina,World Cup,0 ,6 ,6 ,0 ,1 ,0 ,2014/2015
158023,Lionel Messi,"Jun 24, 1987",2014, Argentina,WC Qualification South America,1141 ,14 ,12 ,2 ,0 ,2 ,2014/2015
158023,Lionel Messi,"Jun 24, 1987",2011, Argentina,Copa America,360 ,4 ,4 ,0 ,0 ,0 ,2011/2012
158023,Lionel Messi,"Jun 24, 1987",2010, Argentina,World Cup,0 ,5 ,5 ,0 ,0 ,0 ,2010/2011
158023,Lionel Messi,"Jun 24, 1987",2010, Argentina,WC Qualification South America,0 ,17 ,17 ,0 ,5 ,0 ,2010/2011
158023,Lionel Messi,"Jun 24, 1987",2007, Argentina,Copa America,456 ,6 ,5 ,1 ,2 ,1 ,2007/2008
158023,Lionel Messi,"Jun 24, 1987",2006, Argentina,World Cup,0 ,3 ,1 ,2 ,1 ,2 ,2006/2007
156616,Franck Ribéry,"Apr 7, 1983",2014, France,WC Qualification Europe,180 ,14 ,10 ,4 ,0 ,0 ,2014/2015
156616,Franck Ribéry,"Apr 7, 1983",2012, France,European Championship,0 ,4 ,4 ,0 ,0 ,0 ,2012/2013
156616,Franck Ribéry,"Apr 7, 1983",2012, France,Euro Qualification,0 ,4 ,4 ,0 ,0 ,0 ,2012/2013
156616,Franck Ribéry,"Apr 7, 1983",2010, France,World Cup,0 ,3 ,3 ,0 ,0 ,0 ,2010/2011
156616,Franck Ribéry,"Apr 7, 1983",2010, France,WC Qualification Europe,341 ,6 ,3 ,3 ,1 ,3 ,2010/2011
156616,Franck Ribéry,"Apr 7, 1983",2008, France,European Championship,0 ,3 ,3 ,0 ,1 ,0 ,2008/2009
156616,Franck Ribéry,"Apr 7, 1983",2008, France,Euro Qualification,919 ,11 ,11 ,0 ,7 ,0 ,2008/2009
5479,Iker Casillas Fernández,"May 20, 1981",2016, Spain,Euro Qualification,630 ,7 ,7 ,0 ,0 ,3 ,2016/2017
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2022/2023, Portugal,UEFA Nations League,211 ,3 ,2 ,1 ,0 ,1 ,2022/2023
