ID_Player,Name,birth_date,Saison,Team,Competition,Minutes_Jouées,Apparition,Titulaire,Remplacé_xfois,A Remplacé_xfois,Sur le banc,Saison_trait
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2022/2023, Portugal,UEFA Nations League,211 ,3 ,2 ,1 ,0 ,1 ,2022/2023
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2022, Portugal,WC Qualification Europe,810 ,9 ,9 ,0 ,0 ,0 ,2022/2023
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2020/2021, Portugal,UEFA Nations League,351 ,4 ,4 ,0 ,1 ,0 ,2020/2021
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2020, Portugal,European Championship,360 ,4 ,4 ,0 ,0 ,0 ,2020/2021
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2020, Portugal,Euro Qualification,642 ,8 ,8 ,0 ,3 ,0 ,2020/2021
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2018/2019, Portugal,UEFA Nations League,180 ,2 ,2 ,0 ,0 ,0 ,2018/2019
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2018, Portugal,WC Qualification Europe,764 ,9 ,8 ,1 ,0 ,1 ,2018/2019
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2018, Portugal,World Cup,360 ,4 ,4 ,0 ,0 ,0 ,2018/2019
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2017, Portugal,Confederations Cup,0 ,3 ,3 ,0 ,1 ,2 ,2017/2018
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2016, Portugal,Euro Qualification,540 ,6 ,6 ,0 ,0 ,0 ,2016/2017
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2016, Portugal,European Championship,565 ,7 ,7 ,0 ,1 ,0 ,2016/2017
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2014, Portugal,World Cup,0 ,3 ,3 ,0 ,0 ,0 ,2014/2015
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2014, Portugal,WC Qualification Europe,180 ,10 ,9 ,1 ,0 ,0 ,2014/2015
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2012, Portugal,European Championship,0 ,5 ,5 ,0 ,0 ,0 ,2012/2013
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2012, Portugal,Euro Qualification,0 ,8 ,8 ,0 ,0 ,0 ,2012/2013
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2010, Portugal,World Cup,0 ,3 ,3 ,0 ,0 ,0 ,2010/2011
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2010, Portugal,WC Qualification Europe,567 ,7 ,7 ,0 ,1 ,0 ,2010/2011
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2008, Portugal,European Championship,0 ,3 ,3 ,0 ,0 ,0 ,2008/2009
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2008, Portugal,Euro Qualification,1107 ,13 ,13 ,0 ,3 ,0 ,2008/2009
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2006, Portugal,World Cup,0 ,6 ,6 ,0 ,2 ,0 ,2006/2007
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2006, Portugal,WC Qualification Europe,945 ,12 ,12 ,0 ,8 ,0 ,2006/2007
20801,C. Ronaldo dos Santos Aveiro,"Feb 5, 1985",2004, Portugal,European Championship,388 ,6 ,4 ,2 ,2 ,2 ,2004/2005
193080,David De Gea Quintana,"Nov 7, 1990",2022, Spain,WC Qualification Europe,0 ,0 ,0 ,0 ,0 ,8 ,2022/2023
193080,David De Gea Quintana,"Nov 7, 1990",2020/2021, Spain,UEFA Nations League,360 ,4 ,4 ,0 ,0 ,4 ,2020/2021
193080,David De Gea Quintana,"Nov 7, 1990",2020, Spain,European Championship,0 ,0 ,0 ,0 ,0 ,6 ,2020/2021
193080,David De Gea Quintana,"Nov 7, 1990",2020, Spain,Euro Qualification,240 ,3 ,3 ,0 ,1 ,7 ,2020/2021
193080,David De Gea Quintana,"Nov 7, 1990",2018/2019, Spain,UEFA Nations League,0 ,4 ,4 ,0 ,0 ,0 ,2018/2019
193080,David De Gea Quintana,"Nov 7, 1990",2018, Spain,WC Qualification Europe,810 ,9 ,9 ,0 ,0 ,1 ,2018/2019
193080,David De Gea Quintana,"Nov 7, 1990",2018, Spain,World Cup,360 ,4 ,4 ,0 ,0 ,0 ,2018/2019
193080,David De Gea Quintana,"Nov 7, 1990",2016, Spain,Euro Qualification,270 ,3 ,3 ,0 ,0 ,7 ,2016/2017
193080,David De Gea Quintana,"Nov 7, 1990",2016, Spain,European Championship,360 ,4 ,4 ,0 ,0 ,0 ,2016/2017
193080,David De Gea Quintana,"Nov 7, 1990",2013, Spain U21,Euro U21,1260 ,14 ,14 ,0 ,0 ,1 ,2013/2014
193080,David De Gea Quintana,"Nov 7, 1990",2012, Spain U23,Olympic Games,0 ,3 ,3 ,0 ,0 ,0 ,2012/2013
188545,Robert Lewandowski,"Aug 21, 1988",2022/2023, Poland,UEFA Nations League,249 ,3 ,3 ,0 ,1 ,0 ,2022/2023
188545,Robert Lewandowski,"Aug 21, 1988",2022, Poland,WC Qualification Europe,715 ,9 ,9 ,0 ,3 ,0 ,2022/2023
188545,Robert Lewandowski,"Aug 21, 1988",2020/2021, Poland,UEFA Nations League,276 ,4 ,4 ,0 ,3 ,0 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2020, Poland,European Championship,270 ,3 ,3 ,0 ,0 ,0 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2020, Poland,Euro Qualification,837 ,10 ,9 ,1 ,0 ,1 ,2020/2021
188545,Robert Lewandowski,"Aug 21, 1988",2018/2019, Poland,UEFA Nations League,0 ,3 ,3 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2018, Poland,WC Qualification Europe,900 ,10 ,10 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2018, Poland,World Cup,270 ,3 ,3 ,0 ,0 ,0 ,2018/2019
188545,Robert Lewandowski,"Aug 21, 1988",2016, Poland,Euro Qualification,876 ,10 ,10 ,0 ,1 ,0 ,2016/2017
188545,Robert Lewandowski,"Aug 21, 1988",2016, Poland,European Championship,450 ,5 ,5 ,0 ,0 ,0 ,2016/2017
188545,Robert Lewandowski,"Aug 21, 1988",2014, Poland,Euro Qualification,0 ,10 ,9 ,1 ,0 ,0 ,2014/2015
188545,Robert Lewandowski,"Aug 21, 1988",2012, Poland,European Championship,0 ,3 ,3 ,0 ,0 ,0 ,2012/2013
188545,Robert Lewandowski,"Aug 21, 1988",2012, Poland,Euro Qualification,270 ,3 ,3 ,0 ,0 ,0 ,2012/2013
188545,Robert Lewandowski,"Aug 21, 1988",2010, Poland,WC Qualification Europe,314 ,9 ,2 ,7 ,1 ,8 ,2010/2011
188545,Robert Lewandowski,"Aug 21, 1988",2008, Poland,Euro Qualification,0 ,3 ,2 ,1 ,0 ,7 ,2008/2009
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2022, Brazil,WC Qualification South America,881 ,10 ,10 ,0 ,1 ,3 ,2022/2023
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2021, Brazil,Copa America,450 ,5 ,5 ,0 ,0 ,2 ,2021/2022
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2019, Brazil,Copa America,540 ,6 ,6 ,0 ,0 ,0 ,2019/2020
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2018, Brazil,WC Qualification South America,207 ,5 ,2 ,3 ,2 ,7 ,2018/2019
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2018, Brazil,World Cup,450 ,5 ,5 ,0 ,0 ,0 ,2018/2019
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2015, Brazil,Copa America,270 ,3 ,3 ,0 ,0 ,1 ,2015/2016
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2014, Brazil,World Cup,0 ,6 ,6 ,0 ,0 ,0 ,2014/2015
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2012, Brazil  U23,Olympic Games,0 ,6 ,6 ,0 ,0 ,0 ,2012/2013
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2011, Brazil,Copa America,360 ,4 ,4 ,0 ,0 ,0 ,2011/2012
164240,Thiago Emiliano da Silva,"Sep 22, 1984",2010, Brazil,WC Qualification South America,0 ,2 ,0 ,2 ,0 ,2 ,2010/2011
176635,Mesut Özil,"Oct 15, 1988",2018, Germany,WC Qualification Europe,450 ,6 ,5 ,1 ,1 ,1 ,2018/2019
176635,Mesut Özil,"Oct 15, 1988",2018, Germany,World Cup,180 ,2 ,2 ,0 ,0 ,1 ,2018/2019
176635,Mesut Özil,"Oct 15, 1988",2016, Germany,Euro Qualification,540 ,6 ,6 ,0 ,1 ,0 ,2016/2017
176635,Mesut Özil,"Oct 15, 1988",2016, Germany,European Championship,540 ,6 ,6 ,0 ,0 ,0 ,2016/2017
176635,Mesut Özil,"Oct 15, 1988",2014, Germany,World Cup,0 ,6 ,6 ,0 ,4 ,0 ,2014/2015
176635,Mesut Özil,"Oct 15, 1988",2014, Germany,Euro Qualification,0 ,11 ,10 ,1 ,0 ,0 ,2014/2015
176635,Mesut Özil,"Oct 15, 1988",2012, Germany,European Championship,0 ,5 ,5 ,0 ,2 ,0 ,2012/2013
176635,Mesut Özil,"Oct 15, 1988",2012, Germany,Euro Qualification,0 ,9 ,9 ,0 ,4 ,0 ,2012/2013
176635,Mesut Özil,"Oct 15, 1988",2010, Germany,World Cup,0 ,7 ,7 ,0 ,4 ,0 ,2010/2011
176635,Mesut Özil,"Oct 15, 1988",2010, Germany,WC Qualification Europe,213 ,4 ,2 ,2 ,1 ,2 ,2010/2011
176635,Mesut Özil,"Oct 15, 1988",2008, Germany,Euro Qualification,0 ,2 ,2 ,0 ,0 ,2 ,2008/2009
183277,Eden Hazard,"Jan 7, 1991",2022/2023, Belgium,UEFA Nations League,197 ,4 ,3 ,1 ,3 ,1 ,2022/2023
183277,Eden Hazard,"Jan 7, 1991",2022, Belgium,WC Qualification Europe,239 ,4 ,3 ,1 ,3 ,1 ,2022/2023
183277,Eden Hazard,"Jan 7, 1991",2020/2021, Belgium,UEFA Nations League,74 ,1 ,1 ,0 ,1 ,2 ,2020/2021
183277,Eden Hazard,"Jan 7, 1991",2020, Belgium,European Championship,232 ,4 ,2 ,2 ,1 ,2 ,2020/2021
183277,Eden Hazard,"Jan 7, 1991",2020, Belgium,Euro Qualification,667 ,8 ,8 ,0 ,2 ,0 ,2020/2021
183277,Eden Hazard,"Jan 7, 1991",2018/2019, Belgium,UEFA Nations League,0 ,4 ,4 ,0 ,2 ,0 ,2018/2019
183277,Eden Hazard,"Jan 7, 1991",2018, Belgium,WC Qualification Europe,530 ,10 ,7 ,3 ,2 ,1 ,2018/2019
183277,Eden Hazard,"Jan 7, 1991",2018, Belgium,World Cup,518 ,6 ,6 ,0 ,1 ,1 ,2018/2019
183277,Eden Hazard,"Jan 7, 1991",2016, Belgium,Euro Qualification,752 ,9 ,9 ,0 ,3 ,0 ,2016/2017
183277,Eden Hazard,"Jan 7, 1991",2016, Belgium,European Championship,441 ,5 ,5 ,0 ,1 ,0 ,2016/2017
183277,Eden Hazard,"Jan 7, 1991",2014, Belgium,World Cup,0 ,5 ,4 ,1 ,2 ,1 ,2014/2015
183277,Eden Hazard,"Jan 7, 1991",2014, Belgium,Euro Qualification,0 ,8 ,6 ,2 ,3 ,3 ,2014/2015
183277,Eden Hazard,"Jan 7, 1991",2012, Belgium,Euro Qualification,0 ,8 ,5 ,3 ,3 ,4 ,2012/2013
183277,Eden Hazard,"Jan 7, 1991",2010, Belgium,WC Qualification Europe,156 ,5 ,1 ,4 ,1 ,5 ,2010/2011
195864,Paul Pogba,"Mar 15, 1993",2022, France,WC Qualification Europe,446 ,6 ,5 ,1 ,1 ,1 ,2022/2023
195864,Paul Pogba,"Mar 15, 1993",2020/2021, France,UEFA Nations League,466 ,6 ,5 ,1 ,0 ,1 ,2020/2021
195864,Paul Pogba,"Mar 15, 1993",2020, France,European Championship,346 ,4 ,4 ,0 ,1 ,0 ,2020/2021
195864,Paul Pogba,"Mar 15, 1993",2020, France,Euro Qualification,360 ,4 ,4 ,0 ,0 ,0 ,2020/2021
195864,Paul Pogba,"Mar 15, 1993",2018/2019, France,UEFA Nations League,0 ,3 ,3 ,0 ,0 ,0 ,2018/2019
195864,Paul Pogba,"Mar 15, 1993",2018, France,WC Qualification Europe,540 ,7 ,7 ,0 ,0 ,0 ,2018/2019
195864,Paul Pogba,"Mar 15, 1993",2018, France,World Cup,539 ,6 ,6 ,0 ,1 ,1 ,2018/2019
195864,Paul Pogba,"Mar 15, 1993",2016, France,Euro Qualification,601 ,7 ,6 ,1 ,1 ,1 ,2016/2017
195864,Paul Pogba,"Mar 15, 1993",2016, France,European Championship,571 ,7 ,6 ,1 ,1 ,1 ,2016/2017
195864,Paul Pogba,"Mar 15, 1993",2014, France,World Cup,0 ,5 ,4 ,1 ,1 ,1 ,2014/2015
195864,Paul Pogba,"Mar 15, 1993",2014, France,WC Qualification Europe,180 ,6 ,6 ,0 ,0 ,0 ,2014/2015
176676,Marcelo Vieira da Silva,"May 12, 1988",2018, Brazil,WC Qualification South America,450 ,7 ,7 ,0 ,0 ,1 ,2018/2019
176676,Marcelo Vieira da Silva,"May 12, 1988",2018, Brazil,World Cup,280 ,4 ,4 ,0 ,1 ,1 ,2018/2019
176676,Marcelo Vieira da Silva,"May 12, 1988",2014, Brazil,World Cup,0 ,6 ,6 ,0 ,0 ,1 ,2014/2015
176676,Marcelo Vieira da Silva,"May 12, 1988",2012, Brazil  U23,Olympic Games,0 ,7 ,6 ,1 ,0 ,0 ,2012/2013
178518,Radja Nainggolan,"May 4, 1988",2018, Belgium,WC Qualification Europe,0 ,2 ,1 ,1 ,1 ,2 ,2018/2019
178518,Radja Nainggolan,"May 4, 1988",2016, Belgium,Euro Qualification,806 ,9 ,9 ,0 ,1 ,1 ,2016/2017
178518,Radja Nainggolan,"May 4, 1988",2016, Belgium,European Championship,365 ,5 ,4 ,1 ,1 ,1 ,2016/2017
173210,Claudio Marchisio,"Jan 19, 1986",2016, Italy,Euro Qualification,360 ,4 ,4 ,0 ,0 ,0 ,2016/2017
173210,Claudio Marchisio,"Jan 19, 1986",2014, Italy,World Cup,0 ,3 ,3 ,0 ,1 ,0 ,2014/2015
173210,Claudio Marchisio,"Jan 19, 1986",2014, Italy,Euro Qualification,0 ,9 ,7 ,2 ,0 ,0 ,2014/2015
173210,Claudio Marchisio,"Jan 19, 1986",2012, Italy,European Championship,0 ,6 ,6 ,0 ,0 ,0 ,2012/2013
173210,Claudio Marchisio,"Jan 19, 1986",2012, Italy,Euro Qualification,0 ,6 ,3 ,3 ,1 ,4 ,2012/2013
173210,Claudio Marchisio,"Jan 19, 1986",2010, Italy,World Cup,0 ,2 ,2 ,0 ,2 ,1 ,2010/2011
173210,Claudio Marchisio,"Jan 19, 1986",2010, Italy,WC Qualification Europe,73 ,1 ,1 ,0 ,1 ,0 ,2010/2011
171877,Marek Hamšik,"Jul 27, 1987",2022, Slovakia,WC Qualification Europe,419 ,6 ,6 ,0 ,3 ,0 ,2022/2023
171877,Marek Hamšik,"Jul 27, 1987",2020/2021, Slovakia,UEFA Nations League,310 ,4 ,4 ,0 ,2 ,0 ,2020/2021
171877,Marek Hamšik,"Jul 27, 1987",2020, Slovakia,European Championship,257 ,3 ,3 ,0 ,2 ,0 ,2020/2021
171877,Marek Hamšik,"Jul 27, 1987",2020, Slovakia,Euro Qualification,896 ,10 ,10 ,0 ,2 ,0 ,2020/2021
171877,Marek Hamšik,"Jul 27, 1987",2018/2019, Slovakia,UEFA Nations League,0 ,4 ,4 ,0 ,0 ,0 ,2018/2019
171877,Marek Hamšik,"Jul 27, 1987",2018, Slovakia,WC Qualification Europe,695 ,10 ,9 ,1 ,4 ,1 ,2018/2019
171877,Marek Hamšik,"Jul 27, 1987",2016, Slovakia,Euro Qualification,861 ,10 ,10 ,0 ,2 ,0 ,2016/2017
171877,Marek Hamšik,"Jul 27, 1987",2016, Slovakia,European Championship,360 ,4 ,4 ,0 ,0 ,0 ,2016/2017
171877,Marek Hamšik,"Jul 27, 1987",2014, Slovakia,Euro Qualification,0 ,11 ,8 ,3 ,0 ,0 ,2014/2015
171877,Marek Hamšik,"Jul 27, 1987",2012, Slovakia,Euro Qualification,0 ,10 ,10 ,0 ,0 ,0 ,2012/2013
171877,Marek Hamšik,"Jul 27, 1987",2010, Slovakia,World Cup,0 ,4 ,4 ,0 ,1 ,0 ,2010/2011
171877,Marek Hamšik,"Jul 27, 1987",2010, Slovakia,WC Qualification Europe,659 ,8 ,8 ,0 ,2 ,1 ,2010/2011
171877,Marek Hamšik,"Jul 27, 1987",2008, Slovakia,Euro Qualification,508 ,6 ,6 ,0 ,1 ,0 ,2008/2009
183898,Ángel Di María,"Feb 14, 1988",2022, Argentina,WC Qualification South America,722 ,13 ,9 ,4 ,9 ,6 ,2022/2023
41236,Zlatan Ibrahimović,"Oct 3, 1981",2022, Sweden,WC Qualification Europe,268 ,5 ,3 ,2 ,2 ,2 ,2022/2023
183898,Ángel Di María,"Feb 14, 1988",2021, Argentina,Copa America,331 ,7 ,3 ,4 ,2 ,3 ,2021/2022
183898,Ángel Di María,"Feb 14, 1988",2019, Argentina,Copa America,149 ,5 ,1 ,4 ,1 ,5 ,2019/2020
183898,Ángel Di María,"Feb 14, 1988",2018, Argentina,WC Qualification South America,991 ,18 ,18 ,0 ,9 ,0 ,2018/2019
183898,Ángel Di María,"Feb 14, 1988",2018, Argentina,World Cup,237 ,3 ,3 ,0 ,2 ,1 ,2018/2019
41236,Zlatan Ibrahimović,"Oct 3, 1981",2016, Sweden,Euro Qualification,824 ,10 ,10 ,0 ,4 ,2 ,2016/2017
41236,Zlatan Ibrahimović,"Oct 3, 1981",2016, Sweden,European Championship,270 ,3 ,3 ,0 ,0 ,0 ,2016/2017
41236,Zlatan Ibrahimović,"Oct 3, 1981",2014, Sweden,WC Qualification Europe,180 ,11 ,11 ,0 ,0 ,0 ,2014/2015
41236,Zlatan Ibrahimović,"Oct 3, 1981",2012, Sweden,European Championship,0 ,3 ,3 ,0 ,0 ,0 ,2012/2013
153079,Sergio Agüero,"Jun 2, 1988",2022, Argentina,WC Qualification South America,0 ,0 ,0 ,0 ,0 ,1 ,2022/2023
183898,Ángel Di María,"Feb 14, 1988",2016, Argentina,Copa America,180 ,3 ,3 ,0 ,3 ,1 ,2016/2017
183898,Ángel Di María,"Feb 14, 1988",2015, Argentina,Copa America,469 ,6 ,6 ,0 ,4 ,0 ,2015/2016
183898,Ángel Di María,"Feb 14, 1988",2014, Argentina,World Cup,0 ,4 ,4 ,0 ,2 ,2 ,2014/2015
41236,Zlatan Ibrahimović,"Oct 3, 1981",2012, Sweden,Euro Qualification,0 ,8 ,7 ,1 ,1 ,1 ,2012/2013
41236,Zlatan Ibrahimović,"Oct 3, 1981",2010, Sweden,WC Qualification Europe,787 ,9 ,9 ,0 ,2 ,0 ,2010/2011
41236,Zlatan Ibrahimović,"Oct 3, 1981",2008, Sweden,European Championship,0 ,3 ,3 ,0 ,2 ,0 ,2008/2009
153079,Sergio Agüero,"Jun 2, 1988",2021, Argentina,Copa America,141 ,4 ,2 ,2 ,2 ,5 ,2021/2022
153079,Sergio Agüero,"Jun 2, 1988",2019, Argentina,Copa America,469 ,6 ,5 ,1 ,3 ,1 ,2019/2020
153079,Sergio Agüero,"Jun 2, 1988",2018, Argentina,WC Qualification South America,194 ,8 ,5 ,3 ,4 ,6 ,2018/2019
183898,Ángel Di María,"Feb 14, 1988",2014, Argentina,WC Qualification South America,1039 ,12 ,12 ,0 ,8 ,0 ,2014/2015
183898,Ángel Di María,"Feb 14, 1988",2011, Argentina,Copa America,197 ,3 ,2 ,1 ,2 ,2 ,2011/2012
183898,Ángel Di María,"Feb 14, 1988",2010, Argentina,World Cup,0 ,5 ,4 ,1 ,3 ,1 ,2010/2011
183898,Ángel Di María,"Feb 14, 1988",2010, Argentina,WC Qualification South America,0 ,5 ,3 ,2 ,2 ,2 ,2010/2011
41236,Zlatan Ibrahimović,"Oct 3, 1981",2008, Sweden,Euro Qualification,556 ,7 ,6 ,1 ,1 ,2 ,2008/2009
41236,Zlatan Ibrahimović,"Oct 3, 1981",2006, Sweden,World Cup,0 ,3 ,3 ,0 ,2 ,0 ,2006/2007
41236,Zlatan Ibrahimović,"Oct 3, 1981",2006, Sweden,WC Qualification Europe,651 ,8 ,7 ,1 ,2 ,2 ,2006/2007
41236,Zlatan Ibrahimović,"Oct 3, 1981",2004, Sweden,European Championship,351 ,4 ,4 ,0 ,1 ,0 ,2004/2005
153079,Sergio Agüero,"Jun 2, 1988",2018, Argentina,World Cup,178 ,4 ,2 ,2 ,1 ,2 ,2018/2019
153079,Sergio Agüero,"Jun 2, 1988",2016, Argentina,Copa America,156 ,5 ,1 ,4 ,0 ,5 ,2016/2017
153079,Sergio Agüero,"Jun 2, 1988",2015, Argentina,Copa America,386 ,5 ,5 ,0 ,5 ,1 ,2015/2016
153079,Sergio Agüero,"Jun 2, 1988",2014, Argentina,World Cup,0 ,5 ,3 ,2 ,3 ,3 ,2014/2015
153079,Sergio Agüero,"Jun 2, 1988",2014, Argentina,WC Qualification South America,575 ,8 ,7 ,1 ,6 ,2 ,2014/2015
153079,Sergio Agüero,"Jun 2, 1988",2011, Argentina,Copa America,217 ,4 ,2 ,2 ,2 ,2 ,2011/2012
153079,Sergio Agüero,"Jun 2, 1988",2010, Argentina,World Cup,0 ,3 ,1 ,2 ,1 ,4 ,2010/2011
153079,Sergio Agüero,"Jun 2, 1988",2010, Argentina,WC Qualification South America,0 ,11 ,7 ,4 ,6 ,4 ,2010/2011
179813,Edinson Cavani,"Feb 14, 1987",2022, Uruguay,WC Qualification South America,466 ,9 ,5 ,4 ,3 ,4 ,2022/2023
179813,Edinson Cavani,"Feb 14, 1987",2021, Uruguay,Copa America,428 ,5 ,5 ,0 ,1 ,0 ,2021/2022
179813,Edinson Cavani,"Feb 14, 1987",2019, Uruguay,Copa America,360 ,4 ,4 ,0 ,0 ,0 ,2019/2020
179813,Edinson Cavani,"Feb 14, 1987",2018, Uruguay,WC Qualification South America,1062 ,15 ,15 ,0 ,1 ,0 ,2018/2019
179813,Edinson Cavani,"Feb 14, 1987",2018, Uruguay,World Cup,344 ,4 ,4 ,0 ,2 ,0 ,2018/2019
